timestamp,elapsed_seconds,io2,io3, resistance,eda,ir,bpm,accel_x,accel_y,accel_z
1752796499.978,1521.173,0.32234,1.86447,217663.00,4.59425,113937,42,-670.0000,-99.0000,-4056.0000
1752796500.209,1521.404,0.32295,1.86081,218145.00,4.58409,114032,42,-678.0000,-74.0000,-4036.0000
1752796500.377,1521.572,0.32479,1.86386,217663.00,4.59425,114118,42,-667.0000,-98.0000,-4043.0000
1752796500.552,1521.747,0.32295,1.86447,218145.00,4.58409,113762,42,-663.0000,-92.0000,-4056.0000
1752796500.674,1521.869,0.32357,1.86264,217577.00,4.59607,113715,42,-651.0000,-79.0000,-4050.0000
1752796500.873,1522.068,0.32295,1.86325,219111.00,4.56388,113750,42,-661.0000,-83.0000,-4050.0000
1752796500.991,1522.186,0.32479,1.86386,218318.00,4.58046,113779,42,-671.0000,-95.0000,-4042.0000
1752796501.088,1522.283,0.32357,1.86325,218715.00,4.59061,113835,42,-663.0000,-87.0000,-4032.0000
1752796501.171,1522.366,0.32357,1.86325,218715.00,4.57215,113909,42,-657.0000,-88.0000,-4024.0000
1752796501.274,1522.469,0.32357,1.86386,218318.00,4.58046,114002,42,-686.0000,-73.0000,-4031.0000
1752796501.418,1522.613,0.32357,1.86264,216475.00,4.56671,114082,42,-670.0000,-89.0000,-4035.0000
1752796501.529,1522.724,0.32540,1.86203,219111.00,4.61946,114202,42,-668.0000,-86.0000,-4032.0000
1752796501.622,1522.817,0.32540,1.86325,219111.00,4.56388,114163,42,-647.0000,-100.0000,-4035.0000
1752796501.787,1522.982,0.32479,1.86264,218975.00,4.56671,113827,42,-664.0000,-86.0000,-4030.0000
1752796501.884,1523.079,0.32540,1.86142,219285.00,4.56026,113779,42,-678.0000,-83.0000,-4029.0000
1752796502.003,1523.198,0.32540,1.86325,220429.00,4.53660,113867,42,-675.0000,-95.0000,-4053.0000
1752796502.140,1523.335,0.32540,1.86203,219857.00,4.54841,113890,42,-672.0000,-93.0000,-4052.0000
1752796502.251,1523.446,0.32540,1.86142,220914.00,4.52664,113999,42,-672.0000,-93.0000,-4052.0000
1752796502.417,1523.612,0.32601,1.86081,220516.00,4.53660,114069,42,-660.0000,-77.0000,-4030.0000
1752796502.540,1523.735,0.32601,1.86264,220516.00,4.53480,114170,42,-673.0000,-69.0000,-4045.0000
