timestamp,elapsed_seconds,io2,io3, resistance,eda,ir,bpm,accel_x,accel_y,accel_z
1752795494.124,515.319,0.64469,1.54029,735602.00,1.35943,122021,42,-845.0000,46.0000,-4021.0000
1752795494.259,515.454,0.64286,1.54029,736425.00,1.35791,122111,42,-857.0000,41.0000,-4008.0000
1752795494.396,515.591,0.64408,1.53907,739658.00,1.35197,122004,42,-857.0000,29.0000,-4003.0000
1752795494.542,515.737,0.64530,1.54274,736784.00,1.35725,121817,42,-859.0000,35.0000,-4001.0000
1752795494.709,515.904,0.64347,1.53968,737466.00,1.35599,121816,42,-849.0000,35.0000,-4012.0000
1752795494.850,516.045,0.64103,1.53968,737466.00,1.35599,121836,42,-856.0000,44.0000,-4010.0000
1752795495.006,516.201,0.64469,1.54090,740846.00,1.34981,121895,42,-848.0000,31.0000,-4012.0000
1752795495.123,516.318,0.64408,1.53907,737466.00,1.35599,121980,42,-855.0000,38.0000,-4014.0000
1752795495.268,516.463,0.64530,1.53968,740846.00,1.34981,122087,42,-853.0000,41.0000,-4007.0000
1752795495.439,516.634,0.64408,1.53907,738472.00,1.35447,122178,42,-837.0000,29.0000,-4002.0000
1752795495.568,516.763,0.64469,1.53846,738472.00,1.35415,122288,42,-866.0000,39.0000,-4007.0000
1752795495.727,516.922,0.64530,1.53785,740163.00,1.35105,122099,42,-840.0000,33.0000,-4018.0000
1752795495.867,517.062,0.64469,1.53846,741860.00,1.34796,122176,42,-853.0000,46.0000,-4010.0000
1752795496.013,517.208,0.64591,1.53724,740163.00,1.35105,122301,42,-854.0000,44.0000,-4007.0000
1752795496.186,517.381,0.64408,1.53724,741353.00,1.34888,122344,42,-848.0000,38.0000,-3999.0000
1752795496.359,517.554,0.64774,1.53785,742876.00,1.34856,122443,42,-870.0000,32.0000,-4008.0000
1752795496.489,517.684,0.64652,1.53602,742876.00,1.34612,122538,42,-858.0000,33.0000,-4002.0000
1752795496.668,517.863,0.64591,1.53724,746465.00,1.33965,122355,42,-838.0000,51.0000,-4022.0000
1752795496.844,518.039,0.64652,1.53602,745092.00,1.33904,122399,42,-849.0000,47.0000,-4016.0000
1752795496.969,518.164,0.64530,1.53602,745092.00,1.34211,122475,42,-853.0000,29.0000,-3996.0000
1752795497.105,518.300,0.64713,1.53663,747151.00,1.34304,122518,42,-865.0000,33.0000,-3999.0000
1752795497.236,518.431,0.64591,1.53724,748866.00,1.33842,122617,42,-862.0000,30.0000,-3997.0000
1752795497.343,518.538,0.64652,1.53663,748866.00,1.33535,122714,42,-862.0000,30.0000,-3997.0000
1752795497.523,518.718,0.64957,1.53541,745267.00,1.34180,122565,42,-849.0000,31.0000,-3991.0000
1752795497.671,518.866,0.64652,1.53663,747491.00,1.33781,122524,42,-854.0000,35.0000,-4003.0000
1752795497.863,519.058,0.64774,1.53602,749724.00,1.34180,122480,42,-832.0000,41.0000,-4015.0000
1752795497.993,519.188,0.64591,1.53297,749724.00,1.33382,122547,42,-859.0000,39.0000,-4018.0000
1752795498.137,519.332,0.64774,1.53419,750413.00,1.33260,122622,42,-845.0000,41.0000,-4001.0000
1752795498.257,519.452,0.64713,1.53419,751102.00,1.33138,122740,42,-845.0000,41.0000,-4001.0000
1752795498.448,519.643,0.65018,1.53419,750585.00,1.33229,122775,42,-861.0000,19.0000,-4006.0000
1752795498.646,519.841,0.64957,1.53297,749896.00,1.32893,122867,42,-857.0000,43.0000,-4012.0000
1752795498.782,519.977,0.65079,1.53358,749896.00,1.33352,122704,42,-860.0000,42.0000,-4013.0000
1752795498.929,520.124,0.65201,1.53236,747832.00,1.33720,122628,42,-837.0000,50.0000,-4012.0000
1752795499.146,520.341,0.65140,1.53236,760138.00,1.32012,122654,42,-854.0000,34.0000,-4011.0000
1752795499.269,520.464,0.65385,1.53236,760138.00,1.31555,122658,42,-852.0000,36.0000,-4005.0000
1752795499.432,520.627,0.65140,1.53236,757697.00,1.31979,122723,42,-850.0000,35.0000,-3996.0000
1752795499.576,520.771,0.65385,1.53297,751795.00,1.33015,122795,42,-857.0000,23.0000,-4003.0000
1752795499.715,520.910,0.65018,1.53236,757172.00,1.32070,122908,42,-859.0000,26.0000,-4009.0000
1752795499.826,521.021,0.65201,1.53236,756816.00,1.32132,122976,42,-859.0000,26.0000,-4009.0000
1752795500.016,521.211,0.65201,1.53114,760305.00,1.31858,122833,42,-843.0000,42.0000,-4005.0000
1752795500.157,521.352,0.65263,1.53053,760305.00,1.31526,122836,42,-858.0000,31.0000,-4009.0000
1752795500.262,521.457,0.65201,1.52991,758223.00,1.31887,122828,42,-860.0000,19.0000,-3987.0000
1752795500.369,521.564,0.65324,1.52930,763648.00,1.30950,122881,42,-850.0000,25.0000,-4018.0000
1752795500.528,521.723,0.65263,1.52930,763282.00,1.31013,122981,42,-857.0000,30.0000,-4003.0000
1752795500.690,521.885,0.65385,1.52930,768951.00,1.30047,123041,42,-850.0000,46.0000,-4005.0000
1752795500.800,521.995,0.65140,1.53236,766968.00,1.30383,123134,42,-860.0000,31.0000,-4011.0000
1752795500.958,522.153,0.65690,1.52869,757865.00,1.31949,123204,42,-859.0000,46.0000,-4009.0000
1752795501.085,522.280,0.65629,1.52686,767341.00,1.30320,123186,42,-859.0000,46.0000,-4009.0000
1752795501.284,522.479,0.65629,1.52686,773211.00,1.29331,123036,42,-853.0000,27.0000,-4013.0000
1752795501.415,522.610,0.65568,1.52686,776090.00,1.28851,123140,42,-851.0000,37.0000,-4011.0000
1752795501.566,522.761,0.65690,1.52564,773147.00,1.29342,123277,42,-845.0000,26.0000,-4013.0000
1752795501.687,522.882,0.65568,1.52442,777887.00,1.28553,123460,42,-838.0000,43.0000,-4022.0000
1752795501.826,523.021,0.65934,1.52259,780945.00,1.28050,123606,42,-863.0000,30.0000,-3995.0000
1752795501.994,523.189,0.66239,1.52137,790347.00,1.26527,123854,42,-848.0000,43.0000,-4003.0000
1752795502.084,523.279,0.66667,1.52076,790049.00,1.26574,123854,42,-848.0000,43.0000,-4003.0000
1752795502.302,523.497,0.66239,1.52076,791322.00,1.25742,123885,42,-854.0000,42.0000,-3994.0000
1752795502.436,523.631,0.66361,1.52137,791322.00,1.26371,123836,42,-857.0000,34.0000,-3992.0000
1752795502.567,523.762,0.65873,1.52381,783462.00,1.27638,123885,42,-843.0000,38.0000,-4012.0000
1752795502.720,523.915,0.66178,1.52259,784724.00,1.27433,123881,42,-862.0000,38.0000,-4015.0000
1752795502.912,524.107,0.65934,1.52381,782357.00,1.27819,123929,42,-842.0000,27.0000,-3999.0000
1752795503.033,524.228,0.65934,1.52442,779295.00,1.28321,123945,42,-850.0000,49.0000,-4012.0000
1752795503.125,524.320,0.65629,1.52564,782049.00,1.27869,123962,42,-850.0000,49.0000,-4012.0000
1752795503.268,524.463,0.65446,1.52625,775702.00,1.28915,123655,42,-840.0000,28.0000,-3993.0000
1752795503.401,524.596,0.65568,1.53114,775386.00,1.28968,123581,42,-856.0000,46.0000,-3998.0000
1752795503.479,524.674,0.65629,1.52808,764016.00,1.30887,123529,42,-855.0000,45.0000,-4014.0000
1752795503.644,524.839,0.65324,1.52808,767715.00,1.30257,123556,42,-846.0000,52.0000,-3999.0000
1752795503.799,524.994,0.65385,1.52991,757697.00,1.31979,123600,42,-865.0000,34.0000,-4014.0000
1752795503.937,525.132,0.65568,1.53236,761693.00,1.31286,123674,42,-846.0000,45.0000,-4000.0000
1752795504.090,525.285,0.65324,1.53114,761560.00,1.31309,123774,42,-849.0000,36.0000,-3993.0000
1752795504.212,525.407,0.65079,1.53297,753867.00,1.32041,123565,42,-859.0000,38.0000,-4010.0000
1752795504.330,525.525,0.64774,1.53358,753867.00,1.32649,123494,42,-848.0000,38.0000,-4013.0000
1752795504.446,525.641,0.64835,1.53358,753867.00,1.32649,123574,42,-856.0000,53.0000,-3992.0000
1752795504.586,525.781,0.64896,1.53480,752827.00,1.32863,123813,42,-854.0000,20.0000,-4005.0000
1752795504.695,525.890,0.64896,1.53480,752657.00,1.32863,123933,42,-856.0000,28.0000,-4013.0000
1752795504.806,526.001,0.64713,1.53541,750930.00,1.33168,123919,42,-848.0000,25.0000,-4000.0000
1752795504.899,526.094,0.64652,1.53663,747151.00,1.33842,123686,42,-849.0000,40.0000,-4000.0000
1752795505.039,526.234,0.64286,1.53907,742544.00,1.34672,123671,42,-854.0000,26.0000,-4015.0000
1752795505.205,526.400,0.64042,1.54274,737790.00,1.35540,123755,42,-854.0000,29.0000,-3997.0000
1752795505.348,526.543,0.63675,1.54701,714304.00,1.38133,123824,42,-853.0000,40.0000,-4006.0000
1752795505.491,526.686,0.63553,1.55006,714304.00,1.39996,123575,42,-845.0000,36.0000,-4013.0000
1752795505.634,526.829,0.63126,1.55311,705851.00,1.41673,123578,42,-849.0000,38.0000,-4000.0000
1752795505.785,526.980,0.62271,1.55983,696047.00,1.43668,123572,42,-863.0000,36.0000,-4005.0000
1752795505.971,527.166,0.61966,1.56532,671354.00,1.46386,123565,42,-859.0000,39.0000,-4002.0000
1752795506.099,527.294,0.61783,1.56593,671354.00,1.48953,123668,42,-856.0000,27.0000,-4011.0000
1752795506.224,527.419,0.60806,1.57509,662139.00,1.51026,123524,42,-852.0000,26.0000,-4012.0000
1752795506.337,527.532,0.60134,1.58059,641886.00,1.55791,123459,42,-847.0000,30.0000,-4010.0000
1752795506.508,527.703,0.59524,1.58791,612500.00,1.59726,123549,42,-868.0000,35.0000,-4001.0000
1752795506.625,527.820,0.58852,1.59524,612500.00,1.63265,123510,42,-870.0000,27.0000,-4023.0000
1752795506.725,527.920,0.58059,1.60256,596980.00,1.67510,123579,42,-859.0000,37.0000,-3987.0000
1752795506.922,528.117,0.57204,1.61050,584587.00,1.71061,123676,42,-858.0000,32.0000,-4001.0000
1752795507.032,528.227,0.56471,1.61844,567666.00,1.76160,123327,42,-870.0000,55.0000,-3998.0000
1752795507.140,528.335,0.56105,1.62515,540218.00,1.81188,123131,42,-852.0000,39.0000,-4013.0000
1752795507.207,528.402,0.55433,1.63004,540218.00,1.85110,123112,42,-845.0000,35.0000,-4008.0000
1752795507.399,528.594,0.54762,1.63797,523745.00,1.90933,123104,42,-837.0000,42.0000,-4007.0000
1752795507.513,528.708,0.53785,1.64591,510913.00,1.95728,123026,42,-837.0000,42.0000,-4007.0000
1752795507.699,528.894,0.53541,1.64957,500055.00,1.99978,123231,42,-862.0000,41.0000,-4014.0000
1752795507.852,529.047,0.52747,1.65751,489422.00,2.04323,122920,42,-857.0000,36.0000,-4003.0000
1752795507.973,529.168,0.52137,1.66239,480064.00,2.08305,122687,42,-847.0000,20.0000,-4023.0000
1752795508.092,529.287,0.52076,1.66422,471161.00,2.12242,122498,42,-851.0000,29.0000,-4011.0000
1752795508.256,529.451,0.51770,1.66911,468553.00,2.13423,122531,42,-845.0000,39.0000,-4019.0000
1752795508.401,529.596,0.51221,1.67277,461122.00,2.16862,122544,42,-848.0000,43.0000,-3999.0000
1752795508.549,529.744,0.50549,1.68132,448823.00,2.22805,122260,42,-859.0000,33.0000,-4006.0000
1752795508.654,529.849,0.49939,1.68559,434778.00,2.30002,122272,42,-859.0000,33.0000,-4006.0000
1752795508.851,530.046,0.49756,1.68681,433659.00,2.30596,122370,42,-850.0000,25.0000,-4007.0000
1752795509.019,530.214,0.49145,1.69231,421330.00,2.33923,122339,42,-857.0000,38.0000,-3993.0000
1752795509.152,530.347,0.48779,1.69658,421330.00,2.37343,122135,42,-856.0000,25.0000,-3990.0000
1752795509.324,530.519,0.48168,1.70208,412066.00,2.42679,122112,42,-859.0000,45.0000,-4001.0000
1752795509.412,530.607,0.47131,1.71306,402986.00,2.48147,122016,42,-859.0000,45.0000,-4000.0000
1752795509.519,530.714,0.46703,1.71856,392133.00,2.55015,121998,42,-851.0000,28.0000,-4007.0000
1752795509.666,530.861,0.46032,1.72344,382887.00,2.61173,121704,42,-857.0000,30.0000,-4005.0000
1752795509.845,531.040,0.45788,1.72833,372941.00,2.68138,121624,42,-855.0000,45.0000,-4005.0000
1752795509.978,531.173,0.44933,1.73504,366443.00,2.72893,121540,42,-853.0000,27.0000,-3998.0000
1752795510.126,531.321,0.44078,1.74481,359488.00,2.78173,121604,42,-867.0000,47.0000,-3997.0000
1752795510.202,531.397,0.43529,1.74969,349063.00,2.86481,121386,42,-867.0000,47.0000,-3997.0000
1752795510.331,531.526,0.43284,1.75275,342591.00,2.91893,121505,42,-857.0000,37.0000,-4008.0000
1752795510.502,531.697,0.42674,1.75824,334836.00,2.98653,121418,42,-850.0000,32.0000,-4017.0000
1752795510.648,531.843,0.41575,1.76984,326916.00,3.05889,121214,42,-849.0000,44.0000,-4026.0000
1752795510.796,531.991,0.41331,1.77228,317673.00,3.14789,121246,42,-861.0000,33.0000,-4013.0000
1752795510.971,532.166,0.40842,1.77839,312544.00,3.19954,121641,42,-856.0000,41.0000,-4004.0000
1752795511.083,532.278,0.40049,1.78632,305600.00,3.27225,121459,42,-851.0000,35.0000,-4005.0000
1752795511.199,532.394,0.39621,1.78938,298502.00,3.35006,121092,42,-848.0000,20.0000,-4008.0000
1752795511.381,532.576,0.39072,1.79487,291965.00,3.42507,120610,42,-855.0000,35.0000,-4015.0000
1752795511.528,532.723,0.38278,1.80281,272518.00,3.66948,121242,42,-846.0000,43.0000,-4006.0000
1752795511.617,532.812,0.36630,1.82051,272518.00,3.66948,122001,42,-848.0000,34.0000,-3994.0000
1752795511.729,532.924,0.35897,1.82662,259262.00,3.85710,122229,42,-855.0000,36.0000,-4003.0000
1752795511.872,533.067,0.34982,1.83761,250351.00,3.99438,122191,42,-843.0000,40.0000,-4003.0000
1752795512.014,533.209,0.33761,1.84921,243578.00,4.10546,122267,42,-853.0000,36.0000,-4009.0000
1752795512.177,533.372,0.33822,1.84921,228008.00,4.30908,122573,42,-834.0000,44.0000,-4021.0000
1752795512.326,533.521,0.33333,1.85470,225710.00,4.38581,122666,42,-842.0000,33.0000,-4003.0000
1752795512.477,533.672,0.33089,1.85592,223613.00,4.43045,123144,42,-846.0000,30.0000,-4021.0000
1752795512.623,533.818,0.32723,1.86020,223613.00,4.47199,123202,42,-856.0000,25.0000,-4006.0000
1752795512.763,533.958,0.32234,1.86264,220341.00,4.53840,123404,42,-856.0000,14.0000,-3996.0000
1752795512.877,534.072,0.31746,1.86996,216528.00,4.61833,123591,42,-850.0000,41.0000,-4015.0000
1752795513.004,534.199,0.30708,1.87973,211298.00,4.73264,123561,42,-866.0000,35.0000,-3995.0000
1752795513.129,534.324,0.30586,1.88034,202715.00,4.93303,123901,42,-865.0000,28.0000,-4012.0000
1752795513.289,534.484,0.30220,1.88462,200463.00,4.98843,123838,42,-857.0000,35.0000,-4004.0000
1752795513.391,534.586,0.29487,1.89072,197690.00,5.05841,123891,42,-857.0000,35.0000,-4004.0000
1752795513.550,534.745,0.29243,1.89499,193802.00,5.15989,123790,42,-860.0000,10.0000,-4004.0000
1752795513.729,534.924,0.28755,1.89866,190251.00,5.25620,123857,42,-858.0000,40.0000,-3989.0000
1752795513.921,535.116,0.28205,1.90598,185482.00,5.39136,123983,42,-848.0000,46.0000,-4011.0000
1752795514.073,535.268,0.27961,1.90842,177486.00,5.63422,123925,42,-843.0000,45.0000,-4013.0000
1752795514.177,535.372,0.27350,1.91270,177486.00,5.63422,123919,42,-837.0000,37.0000,-4004.0000
1752795514.338,535.533,0.27350,1.91514,175270.00,5.70548,123939,42,-858.0000,33.0000,-4000.0000
1752795514.483,535.678,0.27106,1.91636,171523.00,5.83009,124118,42,-854.0000,32.0000,-3990.0000
1752795514.651,535.846,0.26801,1.92002,170403.00,5.86843,124016,42,-860.0000,26.0000,-4008.0000
1752795514.795,535.990,0.26557,1.92125,169350.00,5.90493,123759,42,-838.0000,35.0000,-4012.0000
1752795514.928,536.123,0.26435,1.92430,167501.00,5.97008,123796,42,-849.0000,35.0000,-4005.0000
1752795515.070,536.265,0.25580,1.93040,160991.00,6.02303,123786,42,-849.0000,32.0000,-4003.0000
1752795515.193,536.388,0.25336,1.93468,160991.00,6.21150,123840,42,-859.0000,30.0000,-4005.0000
1752795515.307,536.502,0.25092,1.93773,157806.00,6.33686,123659,42,-853.0000,34.0000,-4012.0000
1752795515.429,536.624,0.24908,1.93834,155845.00,6.41663,123838,42,-850.0000,47.0000,-4001.0000
